mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,striker,non-striker,total
1,2008-05-17,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Devon Conway,P Kumar,110,3,15.9,1,0,137
1,2008-04-17,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,DA Warner,A Zampa,100,3,16.8,1,0,137
1,2008-05-21,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,V Kohli,SL Malinga,136,1,19.4,0,1,137
2,2008-05-16,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,FA du Plessis,UT Yadav,9,0,1.3,0,1,149
2,2008-05-12,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,Faf du Plessis,A Zampa,14,0,1.8,1,0,149
2,2008-05-24,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,SK Raina,JJ Bumrah,20,1,2.7,0,1,149
2,2008-04-03,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,D Padikkal,JJ Bumrah,26,4,3.6,1,0,149
2,2008-04-16,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,SS Iyer,Rashid Khan,36,0,4.3,1,0,149
2,2008-05-20,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,AB de Villiers,SL Malinga,38,0,4.5,1,0,149
2,2008-05-23,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,HH Pandya,Z Khan,37,2,5.3,0,1,149
2,2008-05-01,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,KA Pollard,SL Malinga,48,4,7.1,1,0,149
2,2008-05-29,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,AT Rayudu,A Zampa,56,2,8.3,1,0,149
2,2008-04-21,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,MS Dhoni,SL Malinga,74,4,10.7,1,0,149
2,2008-05-14,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,RR Pant,P Kumar,75,2,11.2,1,0,149
2,2008-04-08,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,Devon Conway,UT Yadav,80,2,12.2,1,0,149
2,2008-05-26,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,MS Dhoni,Rashid Khan,102,3,13.0,0,1,149
2,2008-04-23,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,SS Iyer,M Morkel,82,2,13.0,1,0,149
2,2008-05-17,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,JC Buttler,P Kumar,84,3,13.3,1,0,149
2,2008-05-12,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,V Kohli,SP Narine,89,2,13.9,0,1,149
2,2008-05-20,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,PP Shaw,T Boult,109,1,14.1,0,1,149
2,2008-04-26,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,NJ Maddinson,Imran Tahir,111,2,16.9,1,0,149
2,2008-05-13,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,RG Sharma,P Kumar,120,5,18.8,1,0,149
3,2008-05-10,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,AM Rahane,JJ Bumrah,10,1,1.3,0,1,191
3,2008-04-18,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,AM Rahane,K Rabada,11,0,1.3,1,0,191
3,2008-05-19,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,CH Gayle,UT Yadav,19,0,1.9,1,0,191
3,2008-04-24,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,KA Pollard,Rashid Khan,24,0,2.7,0,1,191
3,2008-04-03,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,RR Pant,Harbhajan Singh,28,1,2.8,0,1,191
3,2008-05-05,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,SR Watson,MM Patel,40,0,4.3,0,1,191
3,2008-05-16,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,D Padikkal,A Zampa,52,2,6.0,0,1,191
3,2008-04-12,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,AB de Villiers,Z Khan,63,1,6.9,0,1,191
3,2008-05-25,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,HH Pandya,JD Unadkat,69,3,7.6,0,1,191
3,2008-05-26,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,KA Pollard,UT Yadav,95,3,9.8,1,0,191
3,2008-05-17,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,AM Rahane,PP Chawla,98,2,10.5,1,0,191
3,2008-05-27,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,JP Duminy,SP Narine,94,0,11.2,1,0,191
3,2008-04-22,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,DA Warner,YS Chahal,120,0,11.9,0,1,191
3,2008-04-10,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,WP Saha,Z Khan,132,4,12.7,1,0,191
3,2008-05-20,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,JP Duminy,Rashid Khan,140,1,13.1,1,0,191
3,2008-04-25,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,JP Duminy,IS Sodhi,112,2,13.3,0,1,191
3,2008-04-11,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,JP Duminy,T Boult,147,2,13.9,0,1,191
3,2008-04-01,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,Q de Kock,PP Chawla,150,2,14.0,0,1,191
3,2008-05-24,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,AM Rahane,UT Yadav,153,2,15.5,1,0,191
3,2008-04-09,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,JC Buttler,Rashid Khan,160,2,16.2,1,0,191
3,2008-04-28,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,SK Raina,SL Malinga,144,1,16.3,0,1,191
3,2008-04-25,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,KL Rahul,Rashid Khan,155,1,17.5,0,1,191
3,2008-05-15,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,V Kohli,P Kumar,166,3,17.8,0,1,191
3,2008-04-05,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,HH Pandya,S Goswami,160,7,18.7,1,0,191
3,2008-05-01,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,SV Samson,Mohammed Shami,190,7,18.9,0,1,191
3,2008-04-18,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,RG Sharma,P Kumar,190,3,18.9,1,0,191
3,2008-04-14,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,Q de Kock,S Goswami,190,4,19.0,0,1,191
3,2008-05-15,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,KL Rahul,Rashid Khan,190,2,19.6,1,0,191
4,2008-04-22,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,DA Warner,Rashid Khan,15,0,2.4,1,0,142
4,2008-05-17,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,SK Raina,Z Khan,21,0,3.4,1,0,142
4,2008-04-24,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,BA Stokes,T Boult,24,1,3.4,0,1,142
4,2008-04-29,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,JC Buttler,R Ashwin,28,1,3.6,0,1,142
4,2008-04-26,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,Faf du Plessis,S Goswami,30,2,3.8,1,0,142
4,2008-05-11,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,SR Watson,JJ Bumrah,23,0,3.9,0,1,142
4,2008-04-25,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,JC Buttler,YS Chahal,30,0,4.3,0,1,142
4,2008-05-26,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,SR Watson,IS Sodhi,33,0,4.5,0,1,142
4,2008-05-03,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,JP Duminy,KC Sangakkara,39,0,5.6,0,1,142
4,2008-05-19,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,JM Bairstow,B Kumar,43,1,5.9,0,1,142
4,2008-05-05,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,Devon Conway,MM Patel,49,2,7.2,0,1,142
4,2008-05-04,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,KA Pollard,YS Chahal,60,0,7.6,1,0,142
4,2008-04-03,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,D Padikkal,MM Patel,76,0,9.7,0,1,142
4,2008-05-15,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,RG Sharma,KC Sangakkara,71,2,10.0,1,0,142
4,2008-04-08,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,SV Samson,IS Sodhi,80,1,10.4,1,0,142
4,2008-05-15,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,PP Shaw,SL Malinga,73,3,10.4,1,0,142
4,2008-04-11,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,D Padikkal,A Nehra,98,1,13.0,0,1,142
4,2008-05-01,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,RG Sharma,Mohammed Shami,96,3,13.2,1,0,142
4,2008-04-03,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,SK Raina,A Nehra,86,0,13.7,0,1,142
4,2008-05-29,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,MS Dhoni,SL Malinga,117,6,17.4,1,0,142
4,2008-04-14,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,KA Pollard,Harbhajan Singh,114,2,18.0,0,1,142
4,2008-04-15,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,SV Samson,YS Chahal,133,5,18.6,0,1,142
4,2008-05-06,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,CH Gayle,Imran Tahir,138,3,19.0,0,1,142
4,2008-04-05,Punjab Cricket Association Stadium,Delhi Capitals,Lucknow Super Giants,WP Saha,YS Chahal,132,6,19.6,0,1,142
5,2008-04-14,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,Faf du Plessis,PP Chawla,13,0,1.3,1,0,185
5,2008-05-04,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,SS Iyer,Harbhajan Singh,35,1,3.4,0,1,185
5,2008-04-21,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,CH Gayle,T Boult,31,2,3.8,0,1,185
5,2008-04-26,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,SK Raina,JJ Bumrah,34,1,3.9,0,1,185
5,2008-05-11,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,M Vohra,B Kumar,46,0,4.5,0,1,185
5,2008-04-24,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,BA Stokes,DJ Bravo,42,1,5.4,1,0,185
5,2008-04-17,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,JC Buttler,Rashid Khan,50,1,5.8,0,1,185
5,2008-04-08,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,JM Bairstow,P Kumar,79,0,7.6,1,0,185
5,2008-05-29,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,FA du Plessis,Imran Tahir,79,1,8.5,0,1,185
5,2008-05-28,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,SV Samson,T Boult,82,3,8.6,1,0,185
5,2008-05-10,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,CH Gayle,S Goswami,89,2,9.8,0,1,185
5,2008-05-01,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,Faf du Plessis,Rashid Khan,91,2,10.6,0,1,185
5,2008-04-05,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,WP Saha,SP Narine,106,1,11.3,1,0,185
5,2008-04-16,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,NJ Maddinson,K Rabada,98,2,11.7,1,0,185
5,2008-04-01,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,HH Pandya,Rashid Khan,108,2,12.1,0,1,185
5,2008-05-18,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,WP Saha,Imran Tahir,102,0,12.1,1,0,185
5,2008-05-20,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,RG Sharma,JJ Bumrah,130,2,12.6,0,1,185
5,2008-05-24,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,PP Shaw,P Kumar,126,3,13.2,1,0,185
5,2008-04-25,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,AT Rayudu,K Rabada,150,2,14.2,0,1,185
5,2008-05-21,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,FA du Plessis,Harbhajan Singh,122,4,14.2,0,1,185
5,2008-05-23,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,DA Warner,IS Sodhi,148,1,14.7,1,0,185
5,2008-04-25,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,KL Rahul,SP Narine,120,1,14.7,1,0,185
5,2008-04-04,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,JM Bairstow,A Nehra,149,5,16.1,0,1,185
5,2008-05-03,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,AB de Villiers,A Zampa,170,2,17.1,0,1,185
5,2008-04-03,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,JC Buttler,R Ashwin,184,3,17.6,0,1,185
5,2008-04-11,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,CH Gayle,A Zampa,184,5,18.3,0,1,185
5,2008-05-02,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,AM Rahane,Z Khan,176,2,18.5,0,1,185
5,2008-04-17,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,HH Pandya,MM Patel,152,6,18.7,0,1,185
5,2008-04-10,Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,JC Buttler,PP Chawla,184,4,19.0,0,1,185
6,2008-05-02,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,HH Pandya,Mohammed Shami,11,0,1.7,1,0,147
6,2008-05-03,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,FA du Plessis,Mohammed Shami,14,1,2.2,0,1,147
6,2008-04-12,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,WP Saha,A Zampa,15,0,2.5,0,1,147
6,2008-05-17,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,SR Watson,KC Sangakkara,25,3,3.3,0,1,147
6,2008-04-16,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,AB de Villiers,Rashid Khan,34,1,5.4,1,0,147
6,2008-05-05,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,NJ Maddinson,R Ashwin,41,2,6.6,1,0,147
6,2008-05-24,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,KL Rahul,DJ Bravo,55,0,7.0,1,0,147
6,2008-04-22,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,PP Shaw,R Ashwin,51,1,7.1,0,1,147
6,2008-04-26,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,RG Sharma,IS Sodhi,56,1,7.5,1,0,147
6,2008-04-20,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,Q de Kock,S Goswami,79,1,10.0,0,1,147
6,2008-05-03,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,M Vohra,Rashid Khan,94,1,11.3,1,0,147
6,2008-05-05,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,Q de Kock,IS Sodhi,99,1,12.3,0,1,147
6,2008-05-10,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,SK Raina,JJ Bumrah,91,2,14.2,0,1,147
6,2008-04-16,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,NJ Maddinson,T Boult,118,2,14.8,1,0,147
6,2008-05-08,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,JP Duminy,Harbhajan Singh,117,1,16.0,0,1,147
6,2008-04-27,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,HH Pandya,SP Narine,137,7,16.7,1,0,147
6,2008-04-11,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,Devon Conway,YS Chahal,112,3,17.0,1,0,147
6,2008-04-18,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,S Dhawan,JD Unadkat,145,2,17.4,1,0,147
6,2008-04-17,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,JP Duminy,K Rabada,146,2,18.6,0,1,147
6,2008-04-07,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,JP Duminy,JJ Bumrah,123,1,18.9,1,0,147
6,2008-05-04,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Lucknow Super Giants,AB de Villiers,KC Sangakkara,144,4,19.5,1,0,147
7,2008-05-24,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,S Dhawan,JJ Bumrah,7,0,1.0,0,1,145
7,2008-04-05,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,Devon Conway,KC Sangakkara,15,1,2.2,1,0,145
7,2008-04-03,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,Faf du Plessis,YS Chahal,24,0,2.9,0,1,145
7,2008-05-28,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,Q de Kock,Z Khan,25,1,4.0,1,0,145
7,2008-05-03,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,AM Rahane,JD Unadkat,38,5,5.8,1,0,145
7,2008-05-04,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,SR Watson,A Zampa,43,1,6.7,1,0,145
7,2008-05-24,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,JM Bairstow,P Kumar,59,1,8.1,0,1,145
7,2008-05-15,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,KA Pollard,Rashid Khan,58,1,8.3,1,0,145
7,2008-05-09,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,CH Gayle,A Nehra,73,3,9.9,1,0,145
7,2008-05-18,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,JM Bairstow,KC Sangakkara,73,2,11.0,0,1,145
7,2008-05-22,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,JP Duminy,SL Malinga,84,1,12.3,0,1,145
7,2008-04-03,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,AM Rahane,A Zampa,113,4,16.6,1,0,145
7,2008-05-04,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,Q de Kock,DJ Bravo,134,7,16.6,0,1,145
7,2008-05-22,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,Faf du Plessis,UT Yadav,124,2,16.7,1,0,145
7,2008-04-23,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,JP Duminy,SP Narine,126,4,17.0,0,1,145
7,2008-04-03,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,SV Samson,P Kumar,107,1,17.2,0,1,145
7,2008-04-26,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bangalore,SR Watson,Z Khan,120,3,18.9,0,1,145
8,2008-05-07,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,NJ Maddinson,DJ Bravo,40,0,3.5,0,1,207
8,2008-04-01,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,BA Stokes,B Kumar,41,0,4.4,0,1,207
8,2008-04-10,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,JP Duminy,S Goswami,49,0,4.4,0,1,207
8,2008-04-01,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,RR Pant,UT Yadav,45,0,5.0,1,0,207
8,2008-04-05,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,JM Bairstow,KC Sangakkara,56,2,5.5,1,0,207
8,2008-05-27,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,NJ Maddinson,T Boult,56,2,5.7,0,1,207
8,2008-05-26,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,RG Sharma,PP Chawla,57,0,6.3,0,1,207
8,2008-04-01,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,KL Rahul,Harbhajan Singh,80,0,9.0,0,1,207
8,2008-05-27,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,RR Pant,KC Sangakkara,96,0,9.3,0,1,207
8,2008-05-23,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,M Vohra,S Goswami,90,4,10.2,1,0,207
8,2008-04-23,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,FA du Plessis,SP Narine,92,2,10.4,1,0,207
8,2008-05-11,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,RG Sharma,SL Malinga,133,2,12.3,0,1,207
8,2008-04-01,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,IS Sodhi,140,4,12.8,1,0,207
8,2008-04-09,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,B Kumar,123,3,13.0,1,0,207
8,2008-05-14,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,S Dhawan,R Ashwin,167,3,14.6,1,0,207
8,2008-04-15,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,D Padikkal,P Kumar,172,5,14.8,0,1,207
8,2008-05-11,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,AT Rayudu,JJ Bumrah,160,4,14.9,1,0,207
8,2008-05-16,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,KA Pollard,IS Sodhi,183,6,17.2,1,0,207
8,2008-04-28,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,FA du Plessis,A Nehra,186,6,17.6,0,1,207
8,2008-05-16,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,SV Samson,B Kumar,206,3,18.1,1,0,207
8,2008-04-04,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,D Padikkal,Rashid Khan,190,4,18.3,1,0,207
8,2008-05-24,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,NJ Maddinson,A Zampa,206,4,18.3,1,0,207
8,2008-04-22,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,RR Pant,T Boult,206,3,19.5,0,1,207
9,2008-04-21,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,BA Stokes,B Kumar,37,0,3.8,1,0,188
9,2008-04-07,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,WP Saha,DJ Bravo,38,0,3.9,0,1,188
9,2008-05-05,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,SR Watson,Mohammed Shami,39,2,4.4,1,0,188
9,2008-04-07,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,CH Gayle,SL Malinga,51,0,4.9,0,1,188
9,2008-05-06,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,DA Warner,Z Khan,43,1,5.4,0,1,188
9,2008-05-23,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,JC Buttler,JJ Bumrah,52,1,5.5,1,0,188
9,2008-05-04,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,PP Shaw,SP Narine,53,2,5.9,1,0,188
9,2008-04-16,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,RR Pant,IS Sodhi,62,2,5.9,0,1,188
9,2008-04-20,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,Faf du Plessis,Imran Tahir,66,2,6.7,1,0,188
9,2008-05-01,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,KL Rahul,P Kumar,73,2,6.9,1,0,188
9,2008-04-18,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,WP Saha,K Rabada,87,1,9.1,1,0,188
9,2008-04-20,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,BA Stokes,PP Chawla,89,1,10.0,0,1,188
9,2008-05-10,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,Q de Kock,P Kumar,98,3,11.2,1,0,188
9,2008-05-07,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,RR Pant,K Rabada,108,3,11.6,1,0,188
9,2008-05-20,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,RG Sharma,B Kumar,116,1,13.1,0,1,188
9,2008-05-29,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,V Kohli,K Rabada,132,4,13.8,1,0,188
9,2008-04-28,M. Chinnaswamy Stadium,Rajasthan Royals,Lucknow Super Giants,AB de Villiers,IS Sodhi,132,4,14.9,0,1,188
